date,testPositivityRatio,caseDensity,contactTracerCapacityRatio,infectionRate,infectionRateCI90,icuCapacityRatio,vaccinationsInitiatedRatio,vaccinationsCompletedRatio,cases,deaths,positiveTests,negativeTests,contactTracers,hospitalBeds capacity,hospitalBeds currentUsageTotal,hospitalBeds currentUsageCovid,icuBeds capacity,icuBeds currentUsageTotal,icuBeds currentUsageCovid,newCases,newDeaths,vaccinesAdministeredDemographics,vaccinationsInitiatedDemographics,vaccinesDistributed,vaccinationsInitiated,vaccinationsCompleted,vaccinesAdministered,overall,cdcTransmissionLevel
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.086,0.0,0.0,1.76,0.86,0.0,0.0,0.0,3.0,0.0,6.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-05,0.072,0.0,0.0,1.81,0.71,0.0,0.0,0.0,3.0,0.0,22.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-06,0.076,0.0,0.0,1.86,0.59,0.0,0.0,0.0,4.0,0.0,42.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-07,0.077,0.0,0.0,1.91,0.6,0.0,0.0,0.0,7.0,2.0,59.0,829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-08,0.068,0.0,0.0,1.95,0.56,0.0,0.0,0.0,12.0,2.0,65.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-09,0.071,0.0,0.0,2.0,0.56,0.0,0.0,0.0,13.0,2.0,79.0,1147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-10,0.074,0.0,0.0,2.04,0.57,0.0,0.0,0.0,14.0,2.0,112.0,1447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-11,0.068,0.0,0.0,2.08,0.51,0.0,0.0,0.0,23.0,2.0,122.0,1694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-12,0.078,0.0,0.0,2.11,0.45,0.0,0.0,0.0,26.0,2.0,173.0,2123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,0.082,0.0,0.0,2.14,0.4,0.0,0.0,0.0,46.0,2.0,281.0,3282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-14,0.088,0.0,0.0,2.16,0.36,0.0,0.0,0.0,70.0,2.0,471.0,5105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-15,0.093,0.0,0.0,2.17,0.3,0.0,0.0,0.0,70.0,3.0,623.0,6459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-16,0.097,0.0,0.0,2.17,0.24,0.0,0.0,0.0,109.0,3.0,803.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-17,0.089,0.0,0.0,2.17,0.23,0.0,0.0,0.0,141.0,4.0,1222.0,12812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-18,0.088,0.0,0.0,2.16,0.2,0.0,0.0,0.0,210.0,6.0,1842.0,19630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-19,0.084,0.0,0.0,2.14,0.18,0.0,0.0,0.0,326.0,7.0,2632.0,29066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-20,0.083,0.0,0.0,2.11,0.16,0.0,0.0,0.0,434.0,8.0,3643.0,40258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-21,0.087,0.0,0.0,2.07,0.14,0.0,0.0,0.0,564.0,9.0,4902.0,51836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-22,0.092,0.0,0.0,2.02,0.12,0.0,0.0,0.0,764.0,11.0,5803.0,57327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-23,0.098,0.0,0.0,1.97,0.1,0.0,0.0,0.0,1000.0,13.0,6684.0,62153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-24,0.106,0.0,0.0,1.91,0.1,0.0,0.0,0.0,1222.0,18.0,8429.0,73290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-25,0.116,0.0,0.0,1.86,0.1,0.0,0.0,0.0,1467.0,20.0,10418.0,85167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-26,0.123,1.0,0.0,1.8,0.1,0.0,0.0,0.0,1971.0,23.0,12037.0,96305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-27,0.133,1.0,0.0,1.74,0.1,0.0,0.0,0.0,2478.0,29.0,13945.0,107416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-28,0.138,1.0,0.0,1.67,0.1,0.0,0.0,0.0,3198.0,46.0,15555.0,118588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-29,0.141,1.0,0.0,1.61,0.1,0.0,0.0,0.0,4038.0,56.0,16904.0,124721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-30,0.142,1.0,0.0,1.55,0.1,0.0,0.0,0.0,4943.0,60.0,18069.0,130711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-31,0.146,1.0,0.0,1.49,0.1,0.0,0.0,0.0,5695.0,72.0,20159.0,142017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-01,0.145,1.0,0.0,1.44,0.1,0.0,0.0,0.0,6742.0,85.0,21896.0,152997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-02,0.147,1.0,0.0,1.38,0.1,0.0,0.0,0.0,7769.0,100.0,23739.0,164312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-03,0.142,1.0,0.0,1.33,0.1,0.0,0.0,0.0,9000.0,144.0,25365.0,176284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-04,0.141,1.0,0.0,1.28,0.1,0.0,0.0,0.0,10260.0,169.0,27161.0,189234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-05,0.137,1.0,0.0,1.23,0.1,0.0,0.0,0.0,11537.0,194.0,28647.0,198753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-06,0.133,1.0,0.0,1.19,0.1,0.0,0.0,0.0,12342.0,220.0,29734.0,207024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-07,0.126,1.0,0.0,1.15,0.1,0.0,0.0,0.0,13621.0,253.0,31549.0,220934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-08,0.121,1.0,0.0,1.11,0.1,0.0,0.0,0.0,14739.0,295.0,33292.0,235747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-09,0.114,1.0,0.0,1.07,0.1,0.0,0.0,0.0,15690.0,322.0,34641.0,248917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-04-10,0.114,1.0,0.0,1.04,0.1,0.0,0.0,0.0,16819.0,370.0,36205.0,260555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
